Repository Name,Repository URL,Java Usage (%),Commit Count
parquet-java,https://github.com/apache/parquet-java,99.40,2726
ant-easyant-tasks,https://github.com/apache/ant-easyant-tasks,100.00,30
incubator-optiq-linq4j,https://github.com/apache/incubator-optiq-linq4j,100.00,205
calcite,https://github.com/apache/calcite,99.32,5951
activemq-openwire,https://github.com/apache/activemq-openwire,99.51,31
ddlutils,https://github.com/apache/ddlutils,98.22,741
johnzon,https://github.com/apache/johnzon,99.92,1071
qpid-jms,https://github.com/apache/qpid-jms,99.20,2419
commons-math,https://github.com/apache/commons-math,99.29,7193
karaf-decanter,https://github.com/apache/karaf-decanter,95.82,1012
xmlgraphics-fop-pdf-images,https://github.com/apache/xmlgraphics-fop-pdf-images,100.00,221
tomcat80,https://github.com/apache/tomcat80,97.39,15944
commons-text,https://github.com/apache/commons-text,99.99,2350
incubator-retired-tamaya,https://github.com/apache/incubator-retired-tamaya,95.10,1575
gobblin,https://github.com/apache/gobblin,98.74,6456
incubator-samoa,https://github.com/apache/incubator-samoa,98.83,118
incubator-taverna-commandline,https://github.com/apache/incubator-taverna-commandline,95.62,373
incubator-taverna-common-activities,https://github.com/apache/incubator-taverna-common-activities,95.85,855
incubator-taverna-engine,https://github.com/apache/incubator-taverna-engine,98.75,2267
incubator-taverna-language,https://github.com/apache/incubator-taverna-language,99.26,3560
incubator-taverna-osgi,https://github.com/apache/incubator-taverna-osgi,99.64,195
incubator-taverna-server,https://github.com/apache/incubator-taverna-server,96.70,819
incubator-taverna-workbench-common-activities,https://github.com/apache/incubator-taverna-workbench-common-activities,100.00,502
incubator-taverna-workbench,https://github.com/apache/incubator-taverna-workbench,99.69,2525
asterixdb,https://github.com/apache/asterixdb,96.16,9919
servicemix-bundles,https://github.com/apache/servicemix-bundles,98.64,27846
servicemix-specs,https://github.com/apache/servicemix-specs,99.93,423
struts-annotations,https://github.com/apache/struts-annotations,96.18,78
clerezza-rdf-core,https://github.com/apache/clerezza-rdf-core,100.00,37
directory-kerby,https://github.com/apache/directory-kerby,99.34,2487
commons-rdf,https://github.com/apache/commons-rdf,100.00,1813
asterixdb-hyracks,https://github.com/apache/asterixdb-hyracks,99.40,2594
polygene-sandbox,https://github.com/apache/polygene-sandbox,100.00,692
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc,100.00,42
activemq-artemis,https://github.com/apache/activemq-artemis,98.18,11217
datasketches-hive,https://github.com/apache/datasketches-hive,100.00,314
datasketches-pig,https://github.com/apache/datasketches-pig,100.00,368
datasketches-java,https://github.com/apache/datasketches-java,100.00,3283
nifi-maven,https://github.com/apache/nifi-maven,100.00,93
apex-core,https://github.com/apache/apex-core,99.63,6122
incubator-retired-wave-android,https://github.com/apache/incubator-retired-wave-android,100.00,5
fluo-recipes,https://github.com/apache/fluo-recipes,97.07,202
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,99.84,2464
incubator-retired-horn,https://github.com/apache/incubator-retired-horn,96.84,40
directory-fortress-core,https://github.com/apache/directory-fortress-core,96.11,2081
directory-fortress-enmasse,https://github.com/apache/directory-fortress-enmasse,97.94,481
rya,https://github.com/apache/rya,99.67,460
skywalking,https://github.com/apache/skywalking,98.32,8170
unomi,https://github.com/apache/unomi,96.26,2651
brooklyn-library,https://github.com/apache/brooklyn-library,97.45,3811
brooklyn-server,https://github.com/apache/brooklyn-server,99.54,14445
aries-rsa,https://github.com/apache/aries-rsa,99.87,1034
nifi-minifi,https://github.com/apache/nifi-minifi,96.37,200
cordova-plugin-compat,https://github.com/apache/cordova-plugin-compat,100.00,21
incubator-kie-benchmarks,https://github.com/apache/incubator-kie-benchmarks,99.58,602
phoenix-omid,https://github.com/apache/phoenix-omid,98.70,1383
karaf-boot,https://github.com/apache/karaf-boot,100.00,31
